CompanyName,Ldcp,Open,High,Low,Current,Change,Volume
BOP-JUN,10.14,10.1,10.28,10.1,10.28,0.14,"28,000"
BOP-MAYB,10.01,10.09,10.09,9.98,10.0,,"628,500"
BAHL-MAYB,139.98,140.43,140.43,139.5,139.5,-0.48,"2,000"
BML-MAY,3.47,3.42,3.44,3.42,3.44,-0.03,"19,000"
BIPL-MAYB,20.08,20.98,20.98,20.98,20.98,0.9,500
CEPB-MAY,23.88,24.83,24.92,24.83,24.92,1.0,"2,000"
CHCC-MAY,268.40,270.01,270.01,265.0,268.74,0.34,"21,000"
CPHL-MAY,87.75,88.05,89.7,87.0,87.45,-0.19,"1,384,500"
CNERGY-MAY,7.71,7.7,7.83,7.63,7.73,0.01,"1,061,000"
CSAP-MAYB,121.84,121.5,127.0,120.96,120.96,-0.88,"35,000"
DGKC-MAY,147.77,147.75,148.1,145.0,146.0,-2.25,"2,084,500"
DCL-JUN,10.55,0,0,0,0,,"400,000"
DCL-MAY,10.41,10.68,10.68,10.3,10.5,0.05,"371,000"
DFML-MAY,36.46,36.23,36.6,35.16,35.55,-0.82,"948,000"
EFERT-MAYC,181.50,180.0,181.29,180.0,181.0,-0.5,"11,000"
EPCL-MAY,33.41,34.66,35.0,33.71,34.7,1.16,"706,500"
FCCL-MAY,48.13,48.35,48.4,46.91,47.0,-0.98,"2,242,000"
FFC-MAYC,370.52,370.52,370.52,366.4,368.0,-2.68,"14,000"
FFL-MAY,15.28,15.44,16.6,15.35,16.4,1.08,"14,158,500"
FABL-MAYC,48.00,48.7,48.7,47.7,47.7,-0.3,"1,000"
FLYNG-MAY,51.09,51.47,51.5,47.15,48.0,-3.53,"2,538,000"
FCEPL-MAYB,104.59,108.0,108.0,103.1,104.0,-1.29,"221,500"
GAL-MAY,474.75,473.1,473.1,450.0,456.78,-18.49,"419,500"
GHNI-MAY,689.75,680.0,684.89,665.0,666.22,-20.73,"191,500"
GHNI-JUN,697.89,677.41,677.41,630.0,630.0,-67.89,"1,000"
GCIL-MAY,19.50,19.5,19.8,19.1,19.65,0.04,"648,500"
GHGL-MAY,33.00,32.15,32.15,32.15,32.15,-0.85,500
GGL-JUN,13.99,14.13,14.5,14.0,14.5,0.51,"233,500"
GGL-MAY,13.83,13.88,14.5,13.73,14.44,0.55,"1,693,500"
GLAXO-MAYB,383.00,377.0,377.0,377.0,377.0,-6.0,500
GATM-MAY,22.50,22.38,23.0,22.07,22.65,0.41,"1,697,500"
HBL-MAYC,158.06,158.5,159.2,157.15,159.2,1.14,"254,500"
HUBC-MAY,141.47,142.0,142.0,140.51,141.0,-0.52,"417,500"
HUMNL-MAY,12.55,12.54,12.55,12.54,12.55,,"3,000"
IMAGE-MAYB,23.15,23.57,24.65,23.42,23.8,0.79,"298,500"
INIL-MAY,154.08,156.9,161.97,156.9,159.6,5.79,"87,000"
ISL-MAY,81.55,83.0,87.6,82.01,83.5,3.12,"316,500"
ILP-MAY,57.00,59.0,59.6,59.0,59.6,2.6,"17,500"
KEL-MAY,4.41,4.4,4.46,4.4,4.42,-0.01,"333,500"
KOSM-MAY,5.16,5.2,5.22,5.06,5.08,-0.07,"2,987,000"
KOSM-JUN,5.24,0,0,0,0,,"55,000"
LPL-MAY,24.00,23.0,24.0,23.0,23.9,-0.1,"23,500"
LOTCHEM-MAY,20.93,21.1,21.65,20.0,21.31,0.57,"1,433,000"
LUCK-MAYB,343.60,342.0,342.99,337.0,338.0,-3.96,"327,000"
MLCF-MAY,75.11,75.0,75.6,73.65,74.04,-1.09,"2,426,000"
MARI-MAY,644.23,645.0,645.0,620.0,624.0,-19.26,"253,500"
MTL-MAY,583.80,595.0,600.0,586.2,586.2,8.05,"11,500"
MUGHAL-MAY,71.68,73.01,77.3,73.0,75.99,4.72,"366,000"
NBP-MAYB,88.30,88.42,88.48,87.53,88.0,-0.31,"223,500"
NRL-MAY,234.98,236.5,237.79,227.51,228.5,-5.9,"243,500"
NETSOL-MAY,141.04,141.0,141.86,138.82,139.08,-1.8,"463,000"
NML-MAY,109.53,112.01,116.0,111.0,115.0,4.98,"281,500"
OCTOPUS-MAY,54.23,55.99,55.99,53.0,53.79,-0.79,"204,500"
OCTOPUS-JUN,55.02,55.0,55.0,55.0,55.0,-0.02,"3,500"
OGDC-MAYB,212.37,214.39,214.47,210.35,212.2,0.12,"2,469,500"
OGDC-JUNB,215.09,214.8,214.8,214.0,214.0,-1.09,"10,500"
PSO-MAY,381.46,385.51,392.0,384.7,386.5,5.45,"1,592,500"
PSO-JUN,387.67,372.0,372.0,372.0,372.0,-15.67,500
PTC-MAY,22.84,22.77,23.07,22.07,22.1,-0.66,"424,500"
PACE-MAY,5.40,5.01,5.44,5.01,5.35,-0.05,"225,500"
PAEL-MAY,45.55,45.7,45.89,44.35,44.95,-0.69,"1,628,000"
PIBTL-MAY,8.73,8.8,8.9,8.71,8.85,0.13,"489,000"
PPL-MAYB,173.18,174.5,178.8,173.5,176.89,3.41,"4,000,500"
PPL-JUNB,175.31,180.0,180.0,178.4,179.0,3.69,"13,500"
PRL-MAY,33.59,33.5,33.85,32.52,32.6,-0.94,"4,047,000"
PAKRI-MAYB,12.69,12.37,12.95,12.1,12.52,-0.01,"234,000"
PABC-MAY,107.50,112.11,112.11,111.5,111.5,4.0,"6,000"
PIAHCLA-MAY,16.92,16.85,16.85,16.5,16.55,-0.32,"664,000"
PIOC-MAY,218.01,215.01,215.01,215.01,215.01,-3.0,500
POWER-MAY,14.87,14.86,14.91,14.49,14.5,-0.35,"722,000"
SAZEW-MAYB,"1,305.97",1295.0,1325.0,1293.0,1302.0,-3.26,"250,000"
SAZEW-JUNB,"1,321.86",1324.0,1324.0,1324.0,1324.0,2.14,500
SNBL-MAY,16.54,16.3,16.48,16.3,16.47,-0.07,"4,500"
SNGP-MAYB,120.54,121.99,122.6,120.31,120.5,0.33,"939,000"
SSGC-MAY,35.86,36.0,36.45,35.9,36.0,0.14,"5,189,500"
SYM-MAY,15.32,15.45,15.45,15.1,15.13,-0.12,"266,500"
TELE-MAY,7.50,7.56,7.63,7.41,7.55,0.06,"544,000"
THCCL-MAY,189.40,186.9,188.5,186.9,188.5,-2.1,"2,000"
TOMCL-MAY,31.89,31.9,32.4,31.12,32.4,-0.18,"189,000"
SEARL-MAY,86.87,88.72,88.72,86.0,86.9,-0.1,"1,731,000"
TPLP-MAY,8.94,9.0,9.4,8.95,9.16,0.25,"2,188,500"
TREET-MAY,20.05,20.1,20.2,19.52,19.54,-0.46,"1,091,000"
TREET-JUN,20.25,19.9,19.9,19.9,19.9,-0.35,"4,000"
TRG-MAY,63.83,64.09,64.3,62.58,63.09,-0.75,"772,500"
UBL-MAYB,521.50,517.0,520.4,514.0,516.0,-5.5,"21,500"
UBL-JUNB,527.59,513.0,513.0,513.0,513.0,-14.59,"4,000"
UNITY-MAY,27.13,27.01,27.3,26.89,27.11,-0.01,"21,000"
UNITY-JUN,27.58,27.49,27.49,27.49,27.49,-0.09,"5,000"
WAVES-MAY,7.56,7.54,7.65,7.48,7.48,-0.05,"270,500"
WAVESAPP-MAY,9.16,9.27,9.35,9.0,9.19,0.06,"220,500"
WTL-MAY,1.25,1.26,1.27,1.25,1.27,0.02,"1,010,000"
YOUW-MAY,4.43,3.8,4.49,3.65,3.68,-0.75,"32,000"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bal.Glass,8.95,9.45,9.95,9.4,9.95,1.0,"1,343,558"
Frontier Ceram,35.00,38.5,38.5,31.6,33.6,-1.27,"65,947"
Ghani Glass Ltd,32.83,32.75,32.9,31.55,32.1,-0.64,"172,277"
Ghani Value GlassXD,47.26,48.14,48.14,46.8,47.99,0.74,"12,404"
GhaniGlobalGlass,8.34,8.4,8.7,8.4,8.7,0.32,"2,453,411"
Karam Ceramics,49.90,47.9,48.0,45.0,48.0,,48
Shabbir Tiles,12.47,12.5,12.69,12.3,12.64,0.13,"20,155"
Tariq Glass Ind.XD,207.81,208.0,209.75,202.0,207.0,-1.04,"26,960"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Adamjee Ins.,45.32,45.2,46.2,45.2,45.5,0.18,"93,592"
Adamjee Life Ass.,25.15,24.11,25.97,24.11,25.0,-0.15,"3,373"
Ask.Gen.Insur.,30.25,32.0,32.0,30.39,31.29,,360
Askari Life Ass,4.70,4.96,4.96,4.7,4.9,,120
Atlas Ins. Ltd,57.59,59.0,59.0,57.01,58.49,0.91,"1,062"
Century Ins.,39.00,37.68,39.5,37.5,39.1,0.1,"3,628"
Cres.Star Ins.,3.02,3.15,3.36,3.0,3.16,0.13,"20,056,727"
East West Insurance,57.29,51.6,53.0,51.6,53.0,,4
EFU General,120.09,123.95,123.95,117.1,122.0,1.11,"7,518"
EFU Life Assurance,140.99,140.02,143.49,140.02,143.47,-0.95,766
Habib Ins.,7.84,7.81,7.81,7.7,7.7,-0.13,"159,784"
IGI Holdings,164.30,161.15,166.75,161.15,164.01,0.46,233
IGI Life Ins,17.99,18.59,18.99,16.2,17.3,-0.96,"2,270"
Jubile Life Ins,132.40,138.0,138.0,120.55,131.5,-0.9,"5,356"
Jubilee Gen.Ins,50.75,50.15,51.69,50.15,50.7,-0.03,"131,836"
Pak Reinsurance,12.53,12.26,12.69,12.02,12.45,-0.07,"674,978"
PICIC Ins.Ltd.,3.13,3.19,3.39,3.0,3.23,0.1,"810,682"
Premier Ins.,5.85,5.58,5.59,5.52,5.58,-0.27,"1,025"
Reliance Ins.XB,11.00,10.75,10.75,10.31,10.36,-0.64,"3,004"
Shaheen Ins.XB,5.23,5.15,5.2,5.15,5.16,-0.07,"12,830"
TPL Insurance,8.40,8.7,8.7,8.5,8.6,0.1,"2,000"
